知识点,关系,知识点2
任务1 走近工业机器人,上级,工业机器人
什么是工业机器人,前置,走近工业机器人
什么是工业机器人,上级,任务1 走近工业机器人
我国对机器人的定义,前置,什么是工业机器人
我国对机器人的定义,后置,美国机器人工业协会（RIA）给出的定义
我国对机器人的定义,关联,工业机器人的特征
我国对机器人的定义,上级,什么是工业机器人
美国机器人工业协会（RIA）给出的定义,前置,我国对机器人的定义
美国机器人工业协会（RIA）给出的定义,关联,工业机器人的特征
美国机器人工业协会（RIA）给出的定义,上级,什么是工业机器人
工业机器人的特征,前置,什么是工业机器人
工业机器人的特征,后置,工业机器人的分类
工业机器人的特征,上级,什么是工业机器人
工业机器人的分类,前置,工业机器人的特征
工业机器人的分类,上级,任务1 走近工业机器人
按照工业机器人的承载重量分类,前置,工业机器人的分类
按照工业机器人的承载重量分类,后置,工业机器人的系统组成
按照工业机器人的承载重量分类,上级,工业机器人的分类
按照机器人各关节的连接方式分类,前置,工业机器人的分类
按照机器人各关节的连接方式分类,后置,工业机器人的系统组成
按照机器人各关节的连接方式分类,上级,工业机器人的分类
按照工业机器人的用途分类,前置,工业机器人的分类
按照工业机器人的用途分类,后置,工业机器人的系统组成
按照工业机器人的用途分类,上级,工业机器人的分类
工业机器人的系统组成,前置,工业机器人的特征
工业机器人的系统组成,后置,工业机器人本体
工业机器人的系统组成,后置,示教器
工业机器人的系统组成,后置,控制柜
工业机器人的系统组成,上级,任务1 走近工业机器人
工业机器人本体,前置,工业机器人的系统组成
工业机器人本体,关联,示教器
工业机器人本体,关联,控制柜
工业机器人本体,上级,工业机器人的系统组成
示教器,前置,工业机器人的系统组成
示教器,关联,工业机器人本体
示教器,关联,控制柜
示教器,上级,工业机器人的系统组成
控制柜,前置,工业机器人的系统组成
控制柜,关联,工业机器人本体
控制柜,关联,示教器
控制柜,上级,工业机器人的系统组成
使用示教器操作工业机器人动作,前置,工业机器人本体
使用示教器操作工业机器人动作,前置,示教器
使用示教器操作工业机器人动作,前置,控制柜
使用示教器操作工业机器人动作,上级,任务1 走近工业机器人
认识工业机器人的六个轴,前置,使用示教器操作工业机器人动作
认识工业机器人的六个轴,关联,工业机器人本体
认识工业机器人的六个轴,关联,示教器
认识工业机器人的六个轴,关联,控制柜
认识工业机器人的六个轴,上级,使用示教器操作工业机器人动作
工业机器人的示教器操作,前置,使用示教器操作工业机器人动作
工业机器人的示教器操作,关联,工业机器人本体
工业机器人的示教器操作,关联,示教器
工业机器人的示教器操作,关联,控制柜
工业机器人的示教器操作,上级,使用示教器操作工业机器人动作
任务2 工业机器人运动模式,上级,工业机器人
工业机器人的单轴运动,上级,任务2 工业机器人运动模式
单轴运动定义,前置,工业机器人的示教器操作
单轴运动定义,后置,单轴运动特点
单轴运动定义,关联,认识工业机器人的六个轴
单轴运动定义,上级,工业机器人的单轴运动
单轴运动特点,前置,单轴运动定义
单轴运动特点,关联,认识工业机器人的六个轴
单轴运动特点,上级,工业机器人的单轴运动
工业机器人的线性运动,上级,任务2 工业机器人运动模式
线性运动定义,前置,工业机器人的示教器操作
线性运动定义,后置,线性运动特点
线性运动定义,上级,工业机器人的线性运动
线性运动特点,前置,工业机器人的示教器操作
线性运动特点,上级,工业机器人的线性运动
通过手动操纵杆的动作幅度控制机器人动作的速度,前置,线性运动特点
通过手动操纵杆的动作幅度控制机器人动作的速度,上级,工业机器人的线性运动
通过增量模式控制机器人的动作速度,前置,线性运动特点
通过增量模式控制机器人的动作速度,上级,工业机器人的线性运动
工业机器人的重定位运动,上级,任务2 工业机器人运动模式
重定位定义,上级,工业机器人的重定位运动
重定位特点,上级,工业机器人的重定位运动
重定位应用,上级,工业机器人的重定位运动
任务3 工业机器人转数计数器的更新,上级,工业机器人
什么是转数计数器,上级,任务3 工业机器人转数计数器的更新
为什么要进行转数计数器的更新,前置,什么是转数计数器
为什么要进行转数计数器的更新,后置,何时需要更新转数计数器
为什么要进行转数计数器的更新,后置,如何进行转数计数器更新
为什么要进行转数计数器的更新,上级,任务3 工业机器人转数计数器的更新
何时需要更新转数计数器,前置,为什么要进行转数计数器的更新
何时需要更新转数计数器,后置,如何进行转数计数器更新
何时需要更新转数计数器,上级,任务3 工业机器人转数计数器的更新
如何进行转数计数器更新,前置,何时需要更新转数计数器
如何进行转数计数器更新,上级,任务3 工业机器人转数计数器的更新
任务4 建立工具坐标系,上级,工业机器人
工具数据的内容,上级,任务4 建立工具坐标系
如何设定工具数据,前置,工具数据的内容
如何设定工具数据,上级,任务4 建立工具坐标系
工具的重量,前置,工具数据的内容
工具的重量,上级,如何设定工具数据
工具中心的位置,前置,工具数据的内容
工具中心的位置,上级,如何设定工具数据
建立工具坐标系方法,前置,工具的重量
建立工具坐标系方法,前置,工具中心的位置
建立工具坐标系方法,上级,如何设定工具数据
设定工具数据的步骤,前置,建立工具坐标系方法
设定工具数据的步骤,后置,检验工具数据设定的准确度
设定工具数据的步骤,上级,任务4 建立工具坐标系
检验工具数据设定的准确度,关联,工具数据的内容
检验工具数据设定的准确度,上级,任务4 建立工具坐标系
任务5 建立工件坐标系,上级,工业机器人
什么是工件坐标系,上级,任务5 建立工件坐标系
工件坐标系的定义,前置,什么是工件坐标系
工件坐标系的定义,后置,工件坐标系的作用
工件坐标系的定义,上级,什么是工件坐标系
工件坐标系的作用,上级,任务5 建立工件坐标系
简化编程,关联,工件坐标系的作用
简化编程,上级,工件坐标系的作用
省去了重复示教的过程,关联,工件坐标系的作用
省去了重复示教的过程,上级,工件坐标系的作用
如何创建工件坐标系,前置,工件坐标系的作用
如何创建工件坐标系,后置,如何确定工件坐标系方向
如何创建工件坐标系,上级,任务5 建立工件坐标系
如何确定工件坐标系方向,前置,如何创建工件坐标系
如何确定工件坐标系方向,上级,任务5 建立工件坐标系
任务6示教编程基础,上级,工业机器人
什么是RAPID程序,上级,任务6示教编程基础
RAPID程序结构,前置,什么是RAPID程序
RAPID程序结构,上级,任务6示教编程基础
程序模块,上级,RAPID程序结构
程序数据,前置,程序模块
程序数据,上级,程序模块
例行程序,前置,程序模块
例行程序,上级,程序模块
主程序main,前置,程序模块
主程序main,上级,例行程序
中断程序,前置,程序模块
中断程序,上级,程序模块
功能,前置,程序模块
功能,上级,程序模块
系统模块,上级,RAPID程序结构
程序数据,前置,系统模块
程序数据,上级,系统模块
例行程序,前置,系统模块
例行程序,上级,系统模块
中断程序,前置,系统模块
中断程序,上级,系统模块
功能,前置,系统模块
功能,上级,系统模块
RAPID程序的注意事项,前置,例行程序
RAPID程序的注意事项,关联,主程序main
RAPID程序的注意事项,上级,任务6示教编程基础
程序调试方法,前置,例行程序
程序调试方法,上级,任务6示教编程基础
任务7 关节运动指令MoveJ,上级,工业机器人
机器人运动轨迹,上级,任务7 关节运动指令MoveJ
点到点的运动轨迹,前置,机器人运动轨迹
点到点的运动轨迹,上级,机器人运动轨迹
直线运动轨迹,前置,机器人运动轨迹
直线运动轨迹,上级,机器人运动轨迹
圆弧运动轨迹,前置,机器人运动轨迹
圆弧运动轨迹,上级,机器人运动轨迹
MoveJ 运动指令,前置,点到点的运动
MoveJ 运动指令,上级,任务7 关节运动指令MoveJ
MoveJ,前置,点到点的运动
MoveJ,关联,关节运动的特点
MoveJ,上级,MoveJ 运动指令
关节运动的特点,前置,MoveJ
关节运动的特点,上级,MoveJ 运动指令
MoveJ指令参数含义,前置,MoveJ
MoveJ指令参数含义,上级,任务7 关节运动指令MoveJ
编程应用,前置,MoveJ
编程应用,后置,关节运动的特点
编程应用,上级,任务7 关节运动指令MoveJ
任务8 直线运动指令MoveL,上级,工业机器人
直线运动,前置,直线运动轨迹
直线运动,上级,任务8 直线运动指令MoveL
MoveL 运动指令,前置,直线运动
MoveL 运动指令,后置,MoveL
MoveL 运动指令,上级,任务8 直线运动指令MoveL
MoveL,前置,MoveL 运动指令
MoveL,关联,直线运动的特点
MoveL,上级,MoveL 运动指令
直线运动的特点,前置,MoveL
直线运动的特点,关联,MoveL指令参数含义
直线运动的特点,上级,MoveL 运动指令
MoveL指令参数含义,前置,MoveL
MoveL指令参数含义,关联,Z/Fine的区别
MoveL指令参数含义,上级,任务8 直线运动指令MoveL
Z/Fine的区别,前置,MoveL指令参数含义
Z/Fine的区别,上级,任务8 直线运动指令MoveL
Z值,前置,Z/Fine的区别
Z值,上级,Z/Fine的区别
fine,前置,Z/Fine的区别
fine,上级,Z/Fine的区别
基本运动指令应用,前置,MoveL
基本运动指令应用,关联,轨迹编程
基本运动指令应用,上级,Z/Fine的区别
轨迹编程,前置,基本运动指令应用
轨迹编程,上级,任务8 直线运动指令MoveL
任务9 圆弧运动指令MoveC,上级,工业机器人
圆弧运动,前置,圆弧运动轨迹
圆弧运动,上级,任务9 圆弧运动指令MoveC
MoveC 运动指令,前置,圆弧运动
MoveC 运动指令,后置,MoveC特殊规定
MoveC 运动指令,上级,任务9 圆弧运动指令MoveC
MoveC特殊规定,前置,MoveC 运动指令
MoveC特殊规定,关联,轨迹编程应用
MoveC特殊规定,上级,任务9 圆弧运动指令MoveC
轨迹编程应用,前置,MoveC 运动指令
轨迹编程应用,上级,任务9 圆弧运动指令MoveC
任务10 工业机器人赋值计算,上级,工业机器人
什么是赋值指令,上级,任务10 工业机器人赋值计算
常见的赋值类型,前置,什么是赋值指令
常见的赋值类型,后置,常量赋值；数学表达式赋值
常见的赋值类型,上级,任务10 工业机器人赋值计算
常量赋值,前置,常见的赋值类型
常量赋值,上级,常见的赋值类型
数字量,前置,常量赋值
数字量,关联,数学表达式赋值
数字量,上级,常量赋值
字符串,前置,常量赋值
字符串,关联,数学表达式赋值
字符串,上级,常量赋值
布尔量,前置,常量赋值
布尔量,关联,数学表达式赋值
布尔量,上级,常量赋值
数学表达式赋值,前置,常量赋值
数学表达式赋值,上级,常见的赋值类型
如何进行赋值,前置,常量赋值；数学表达式赋值
如何进行赋值,后置,如何查看赋值结果
如何进行赋值,上级,任务10 工业机器人赋值计算
如何查看赋值结果,前置,如何进行赋值
如何查看赋值结果,上级,任务10 工业机器人赋值计算
任务11 工业机器人功能函数,上级,工业机器人
什么是偏移指令,上级,任务11 工业机器人功能函数
常见的偏移指令,前置,什么是偏移指令
常见的偏移指令,后置,Offs
常见的偏移指令,上级,任务11 工业机器人功能函数
Offs,前置,常见的偏移指令
Offs,上级,常见的偏移指令
偏移指令的使用,前置,Offs
偏移指令的使用,后置,查看运行结果
偏移指令的使用,上级,任务11 工业机器人功能函数
赋值偏移,前置,Offs
赋值偏移,后置,查看运行结果
赋值偏移,上级,偏移指令的使用
运动指令中直接偏移,前置,Offs
运动指令中直接偏移,后置,查看运行结果
运动指令中直接偏移,上级,偏移指令的使用
查看运行结果,前置,赋值偏移；运动指令中直接偏移
查看运行结果,上级,任务11 工业机器人功能函数
任务12 工业机器人搬运,上级,工业机器人
机器人常用搬运工具,上级,任务12 工业机器人搬运
常用搬运工具,前置,机器人常用搬运工具
常用搬运工具,后置,机器人与外设之间的通信
常用搬运工具,上级,机器人常用搬运工具
控制方式,前置,常用搬运工具
控制方式,后置,机器人与外设之间的通信
控制方式,上级,机器人常用搬运工具
搬运机器人与外设之间的通信,上级,任务12 工业机器人搬运
DSQC 652,前置,机器人与外设之间的通信
DSQC 652,上级,搬运机器人与外设之间的通信
分布式I/O 模块,前置,DSQC 652
分布式I/O 模块,上级,DSQC 652
di16/do16,前置,DSQC 652
di16/do16,上级,DSQC 652
地址：0 --15,前置,DSQC 652
地址：0 --15,上级,DSQC 652
脉冲指令,上级,任务12 工业机器人搬运
PulseDO,前置,脉冲指令
PulseDO,关联,搬运机器人与外设之间的通信
PulseDO,上级,脉冲指令
指令格式,前置,PulseDO
指令格式,关联,搬运机器人与外设之间的通信
指令格式,上级,脉冲指令
张开抓手,前置,PulseDO
张开抓手,后置,查看运行结果
张开抓手,关联,搬运机器人与外设之间的通信
张开抓手,上级,脉冲指令
关闭抓手,前置,PulseDO
关闭抓手,后置,查看运行结果
关闭抓手,关联,搬运机器人与外设之间的通信
关闭抓手,上级,脉冲指令
查看运行结果,关联,搬运机器人与外设之间的通信
查看运行结果,上级,任务12 工业机器人搬运
任务13 工业机器人外设通信,上级,工业机器人
机器人外围设备,上级,任务13 工业机器人外设通信
外围设备,前置,机器人外围设备
外围设备,后置,机器人与外设之间通信
外围设备,上级,机器人外围设备
机器人与外设之间通信,前置,外围设备
机器人与外设之间通信,上级,机器人外围设备
机器人I/O板,前置,外围设备
机器人I/O板,上级,任务13 工业机器人外设通信
数字输入信号DI的相关参数,前置,机器人I/O板
数字输入信号DI的相关参数,上级,机器人I/O板
数字输出信号DO的相关参数,前置,机器人I/O板
数字输出信号DO的相关参数,上级,机器人I/O板
外设控制方法,前置,机器人与外设之间通信
外设控制方法,上级,任务13 工业机器人外设通信
机器人输出信号常用的编程指令,上级,外设控制方法
置位,后置,Set
置位,上级,机器人输出信号常用的编程指令
Set,前置,置位
Set,上级,置位
复位,后置,Reset
复位,上级,机器人输出信号常用的编程指令
Reset,前置,复位
Reset,上级,复位
任务14 工业机器人挡风玻璃涂胶,上级,工业机器人
机器人挡风玻璃涂胶工作站系统组成,上级,任务14 工业机器人挡风玻璃涂胶
涂胶机器人工作的特点,前置,机器人挡风玻璃涂胶工作站系统组成
涂胶机器人工作的特点,后置,挡风玻璃涂胶时的路径设计
涂胶机器人工作的特点,上级,机器人挡风玻璃涂胶工作站系统组成
挡风玻璃涂胶时的路径设计,前置,机器人挡风玻璃涂胶工作站系统组成
挡风玻璃涂胶时的路径设计,上级,任务14 工业机器人挡风玻璃涂胶
挡风玻璃涂胶工作站机器人与外设之间通信,前置,机器人挡风玻璃涂胶工作站系统组成
挡风玻璃涂胶工作站机器人与外设之间通信,上级,任务14 工业机器人挡风玻璃涂胶
挡风玻璃涂胶工作站机器人工作流程分析,前置,机器人挡风玻璃涂胶工作站系统组成
挡风玻璃涂胶工作站机器人工作流程分析,关联,挡风玻璃涂胶工作站机器人与外设之间通信
挡风玻璃涂胶工作站机器人工作流程分析,上级,任务14 工业机器人挡风玻璃涂胶
任务15 工业机器人搬运挡风玻璃-吸盘类工具,上级,工业机器人
机器人搬运挡风玻璃工作站工作站系统组成,上级,任务15 工业机器人搬运挡风玻璃-吸盘类工具
搬运机器人工作的特点,前置,机器人搬运挡风玻璃工作站工作站系统组成
搬运机器人工作的特点,上级,机器人搬运挡风玻璃工作站工作站系统组成
搬运工件时的路径设计,前置,机器人搬运挡风玻璃工作站工作站系统组成
搬运工件时的路径设计,上级,任务15 工业机器人搬运挡风玻璃-吸盘类工具
机器人搬运挡风玻璃工作站机器人与外设之间通信,前置,机器人搬运挡风玻璃工作站工作站系统组成
机器人搬运挡风玻璃工作站机器人与外设之间通信,上级,任务15 工业机器人搬运挡风玻璃-吸盘类工具
机器人搬运挡风玻璃工作站机器人工作流程分析,前置,机器人搬运挡风玻璃工作站工作站系统组成
机器人搬运挡风玻璃工作站机器人工作流程分析,关联,机器人搬运挡风玻璃工作站机器人与外设之间通信
机器人搬运挡风玻璃工作站机器人工作流程分析,上级,任务15 工业机器人搬运挡风玻璃-吸盘类工具
任务16 工业机器人搬运码垛火花塞-气抓类工具,上级,工业机器人
机器人搬运码垛火花塞工作站工作站系统组成,前置,机器人搬运码垛火花塞工作站工作站系统组成
机器人搬运码垛火花塞工作站工作站系统组成,上级,任务16 工业机器人搬运码垛火花塞-气抓类工具
搬运码垛空间运动轨迹设计,前置,机器人搬运码垛火花塞工作站工作站系统组成
搬运码垛空间运动轨迹设计,后置,码垛示教点计算
搬运码垛空间运动轨迹设计,上级,任务16 工业机器人搬运码垛火花塞-气抓类工具
码垛示教点计算,前置,搬运码垛空间运动轨迹设计
码垛示教点计算,后置,码放规则分析
码垛示教点计算,上级,任务16 工业机器人搬运码垛火花塞-气抓类工具
码放规则分析,前置,码垛示教点计算
码放规则分析,上级,码垛示教点计算
机器人搬运码垛火花塞工作站机器人工作流程分析,前置,机器人搬运码垛火花塞工作站工作站系统组成
机器人搬运码垛火花塞工作站机器人工作流程分析,关联,码放规则分析
机器人搬运码垛火花塞工作站机器人工作流程分析,上级,任务16 工业机器人搬运码垛火花塞-气抓类工具
任务17工业机器人涂胶-汽车灯壳涂胶,上级,工业机器人
汽车灯壳涂胶工作站系统组成,后置,汽车灯壳涂胶机器人工作流程分析
汽车灯壳涂胶工作站系统组成,上级,任务17工业机器人涂胶-汽车灯壳涂胶
空间圆弧轨迹的路径设计,前置,汽车灯壳涂胶工作站系统组成
空间圆弧轨迹的路径设计,后置,汽车灯壳涂胶机器人工作流程分析
空间圆弧轨迹的路径设计,上级,任务17工业机器人涂胶-汽车灯壳涂胶
子程序调用指令,前置,空间圆弧轨迹的路径设计
子程序调用指令,上级,任务17工业机器人涂胶-汽车灯壳涂胶
汽车灯壳涂胶机器人工作流程分析,前置,汽车灯壳涂胶工作站系统组成
汽车灯壳涂胶机器人工作流程分析,上级,任务17工业机器人涂胶-汽车灯壳涂胶
任务18 工业机器人焊接,上级,工业机器人
工业机器人焊接工作站系统组成,上级,任务18 工业机器人焊接
焊接机器人特点,前置,工业机器人焊接工作站系统组成
焊接机器人特点,后置,点焊系统
焊接机器人特点,上级,工业机器人焊接工作站系统组成
点焊系统,前置,焊接机器人特点
点焊系统,后置,点焊系统
点焊系统,上级,任务18 工业机器人焊接
焊接指令,前置,点焊系统
焊接指令,上级,任务18 工业机器人焊接
工业机器人焊接机器人工作流程分析,前置,工业机器人焊接工作站系统组成
工业机器人焊接机器人工作流程分析,上级,任务18 工业机器人焊接
任务19 工业机器人装配,上级,工业机器人
工业机器人装配工作站系统组成,上级,任务19 工业机器人装配
装配机器人空间运动轨迹特点,前置,工业机器人装配工作站系统组成
装配机器人空间运动轨迹特点,后置,装配任务分析
装配机器人空间运动轨迹特点,上级,工业机器人装配工作站系统组成
装配任务分析,前置,装配机器人空间运动轨迹特点
装配任务分析,上级,任务19 工业机器人装配
IF条件判断指令,前置,装配机器人空间运动轨迹特点
IF条件判断指令,上级,任务19 工业机器人装配
工业机器人装配机器人工作流程分析,前置,工业机器人装配工作站系统组成
工业机器人装配机器人工作流程分析,上级,任务19 工业机器人装配
任务20 工业机器人码垛,上级,工业机器人
工业机器人码垛工作站系统组成,上级,任务20 工业机器人码垛
码垛机器人空间运动轨迹特点,前置,工业机器人码垛工作站系统组成
码垛机器人空间运动轨迹特点,后置,码垛空间运动轨迹设计
码垛机器人空间运动轨迹特点,上级,工业机器人码垛工作站系统组成
码垛空间运动轨迹设计,前置,码垛机器人空间运动轨迹特点
码垛空间运动轨迹设计,后置,FOR重复执行判断指令
码垛空间运动轨迹设计,上级,任务20 工业机器人码垛
FOR重复执行判断指令,前置,码垛空间运动轨迹设计
FOR重复执行判断指令,后置,工业机器人码垛机器人工作流程分析
FOR重复执行判断指令,上级,任务20 工业机器人码垛
工业机器人码垛机器人工作流程分析,前置,工业机器人码垛工作站系统组成
工业机器人码垛机器人工作流程分析,上级,任务20 工业机器人码垛
